lemma,crossword_form,length,pos,date,first_year,band,formation,definition,evidence,url
bollocking,BOLLOCKING,10,noun,1653-,1653,2,derivative,"slang. A severe reprimand, a scolding. Cf…",printed date range,http://www.oed.com/dictionary/bollocking_n
bounced,BOUNCED,7,adjective,1653-,1653,0,derivative,That has bounced or been bounced (in various…,printed date range,http://www.oed.com/dictionary/bounced_adj
cidentine,CIDENTINE,9,adjective,1653-,1653,0,borrowing,(See quot. 1653.),printed date range,http://www.oed.com/dictionary/cidentine_adj
gum-didder,GUMDIDDER,9,noun,1653-,1653,0,compound,The quivering or shivering of the gums (cf…,printed date range,http://www.oed.com/dictionary/gum-didder_n
kingfish,KINGFISH,8,noun,1653-,1653,3,compound,A name given to various fishes… Chiefly U.S…,printed date range,http://www.oed.com/dictionary/kingfish_n
lambdoidal,LAMBDOIDAL,10,adjective,1653-,1653,3,derivative,"Anatomy. lambdoidal suture (†commissure), the…",printed date range,http://www.oed.com/dictionary/lambdoidal_adj
pipe vein,PIPEVEIN,8,noun,1653-,1653,1,compound,†a. A vein of the body (obsolete (apparently an…,printed date range,http://www.oed.com/dictionary/pipe-vein_n
disrump,DISRUMP,7,verb,1654-,1654,0,derivative,transitive. To deprive of the rump.,printed date range,http://www.oed.com/dictionary/disrump_v2
como-graphy,COMOGRAPHY,10,noun,1655-,1655,0,borrowing,(See quot. 1655.),printed date range,http://www.oed.com/dictionary/como-graphy_n
handmaid,HANDMAID,8,verb,1655-,1655,2,conversion,transitive. To act as a handmaid to (a person or…,printed date range,http://www.oed.com/dictionary/handmaid_v
polyphone,POLYPHONE,9,noun,1655-,1655,2,borrowing,Phonetics. A written character having more than…,printed date range,http://www.oed.com/dictionary/polyphone_n
dissynagogue,DISSYNAGOGUE,12,verb,1656-,1656,0,derivative,transitive. To punish by casting out of the synagogue.,printed date range,http://www.oed.com/dictionary/dissynagogue_v
drollerical,DROLLERICAL,11,adjective,1656-,1656,0,derivative,Comical.,printed date range,http://www.oed.com/dictionary/drollerical_adj
elliptical,ELLIPTICAL,10,adjective,1656-,1656,5,derivative,Grammar. Of sentences and phrases: Defective…,printed date range,http://www.oed.com/dictionary/elliptical_adj
excutifidian,EXCUTIFIDIAN,12,noun,a1656-,1656,0,borrowing,‘One who believes that saving faith or grace can…,printed date range,http://www.oed.com/dictionary/excutifidian_n
Infanto-mastix,INFANTOMASTIX,13,noun,1656-,1656,0,compound,"A name given to St Augustine, in allusion to his…",printed date range,http://www.oed.com/dictionary/infanto-mastix_n
infinite,INFINITE,8,verb,1656-,1656,3,conversion,transitive. To render infinite; to infinitate.,printed date range,http://www.oed.com/dictionary/infinite_v
owl,OWL,3,verb,1656-,1656,3,conversion,intransitive. U.S. regional. To imitate the…,printed date range,http://www.oed.com/dictionary/owl_v
stratiote,STRATIOTE,9,noun,1656-,1656,3,borrowing,Chiefly Ancient History. A Greek soldier. rare.,printed date range,http://www.oed.com/dictionary/stratiote_n
