lemma,crossword_form,length,pos,date,first_year,band,formation,definition,evidence,url
jingo,JINGO,5,"interjection, noun, adjective",1663-,1663,3,arbitrary,colloquial. by jingo: used to emphasize an…,printed date range,http://www.oed.com/dictionary/jingo_int
tory-rory,TORYRORY,8,"adjective, adverb, interjection, noun",1663-,1663,0,variant,Originally: that is a supporter of Charles II and…,printed date range,http://www.oed.com/dictionary/tory-rory_adj
arse,ARSE,4,verb,1664-,1664,3,conversion,to arse about. intransitive. To turn around so…,printed date range,http://www.oed.com/dictionary/arse_v
Israelism,ISRAELISM,9,noun,1664-,1664,0,derivative,Belief in or advocacy of any theory that a…,printed date range,http://www.oed.com/dictionary/israelism_n
shrowardly,SHROWARDLY,10,adverb,1664-,1664,0,compound,"= shrewdly, adv.",printed date range,http://www.oed.com/dictionary/shrowardly_adv
worthship,WORTHSHIP,9,noun,1664-,1664,2,derivative,The condition of being worthy or deserving; worthiness.,printed date range,http://www.oed.com/dictionary/worthship_n
fine-draw,FINEDRAW,8,verb,1665-,1665,1,compound,transitive. To draw or sew together (two pieces…,printed date range,http://www.oed.com/dictionary/fine-draw_v
syncopated,SYNCOPATED,10,adjective,1665-,1665,4,borrowing,Music. Characterized by syncopation.,printed date range,http://www.oed.com/dictionary/syncopated_adj
Trojanry,TROJANRY,8,noun,1665-,1665,0,derivative,Body or company of Trojans.,printed date range,http://www.oed.com/dictionary/trojanry_n
futurality,FUTURALITY,10,noun,1666-,1666,0,derivative,The quality or condition of being in or of the…,printed date range,http://www.oed.com/dictionary/futurality_n
expressionist,EXPRESSIONIST,13,"noun, adjective",1667-,1667,4,derivative,"An artist, composer, writer, etc., whose work…",printed date range,http://www.oed.com/dictionary/expressionist_n
disdeserve,DISDESERVE,10,verb,1668-,1668,0,derivative,transitive. To do the reverse of deserving; to…,printed date range,http://www.oed.com/dictionary/disdeserve_v
deputator,DEPUTATOR,9,noun,1669-,1669,1,borrowing,One who deputes another to act for him or her.,printed date range,http://www.oed.com/dictionary/deputator_n
flatus,FLATUS,6,noun,1669-,1669,4,borrowing,Pathology. An accumulation or development of wind…,printed date range,http://www.oed.com/dictionary/flatus_n
laityship,LAITYSHIP,9,noun,1670-,1670,0,derivative,The position or personality of one of the laity…,printed date range,http://www.oed.com/dictionary/laityship_n
pregustator,PREGUSTATOR,11,noun,1670-,1670,0,borrowing,Esp. in ancient Rome: a person whose function is…,printed date range,http://www.oed.com/dictionary/pregustator_n
text divider,TEXTDIVIDER,11,noun,1670-,1670,0,compound,"A mark, symbol, typographical feature, etc., used…",printed date range,http://www.oed.com/dictionary/text-divider_n
chicane,CHICANE,7,verb,1671-,1671,2,borrowing,intransitive. To use deception or subterfuge to…,printed date range,http://www.oed.com/dictionary/chicane_v
turnpike,TURNPIKE,8,verb,1672-,1672,0,conversion,transitive. To erect turnpikes on (a road); to…,printed date range,http://www.oed.com/dictionary/turnpike_v
cabinetwork,CABINETWORK,11,noun,1673-,1673,0,compound,Cabinets collectively; a collection of cabinets…,printed date range,http://www.oed.com/dictionary/cabinetwork_n
threnothriambics,THRENOTHRIAMBICS,16,noun,1673-,1673,0,borrowing,Verses in which lamentation and triumph are combined.,printed date range,http://www.oed.com/dictionary/threnothriambics_n
twenty-four,TWENTYFOUR,10,noun,1673-,1673,5,compound,A sheet folded into 24 leaves; a form of type for…,printed date range,http://www.oed.com/dictionary/twenty-four_n
we-ship,WESHIP,6,noun,1673-,1673,0,derivative,"his we-ship, a mock title applied to a writer who…",printed date range,http://www.oed.com/dictionary/we-ship_n
inmostness,INMOSTNESS,10,noun,1674-,1674,0,derivative,"The inmost essence or nature (cf. inwardness, n.).",printed date range,http://www.oed.com/dictionary/inmostness_n
half-boarder,HALFBOARDER,11,noun,1675-,1675,2,compound,"A person who receives half-board (half-board, n…",printed date range,http://www.oed.com/dictionary/half-boarder_n
mechanize,MECHANIZE,9,verb,1675-,1675,5,derivative,transitive. To introduce machinery in or into (a…,printed date range,http://www.oed.com/dictionary/mechanize_v
right-eye,RIGHTEYE,8,adjective,1675-,1675,3,compound,Of or relating to the right eye of a person or…,printed date range,http://www.oed.com/dictionary/right-eye_adj
Caiaphat,CAIAPHAT,8,noun,1676-,1676,2,proper name,A high-priesthood like that of Caiaphas (see John…,printed date range,http://www.oed.com/dictionary/caiaphat_n
candle,CANDLE,6,verb,1676-,1676,3,conversion,To test by allowing the light of a candle to…,printed date range,http://www.oed.com/dictionary/candle_v
dragman,DRAGMAN,7,noun,a1676-,1676,0,compound,U.S. A cattle herder who drives the slow-moving…,printed date range,http://www.oed.com/dictionary/dragman_n
experimentalist,EXPERIMENTALIST,15,"noun, adjective",1677-,1677,4,derivative,A person who tries out or advocates new and…,printed date range,http://www.oed.com/dictionary/experimentalist_n
subaqueous,SUBAQUEOUS,10,adjective,1677-,1677,4,borrowing,"Existing, formed, or constructed underwater.",printed date range,http://www.oed.com/dictionary/subaqueous_adj
bestialist,BESTIALIST,10,noun,1678-,1678,1,derivative,A person who has sexual intercourse with an animal.,printed date range,http://www.oed.com/dictionary/bestialist_n
thematizing,THEMATIZING,11,noun,1678-,1678,0,derivative,"The action or fact of selecting, presenting, or…",printed date range,http://www.oed.com/dictionary/thematizing_n
bone charcoal,BONECHARCOAL,12,noun,1679-,1679,2,compound,†a. A blackened tooth (obsolete); b. a form of…,printed date range,http://www.oed.com/dictionary/bone-charcoal_n
fictioner,FICTIONER,9,noun,a1680-,1680,1,derivative,A writer of fiction; a novelist. Also: a person…,printed date range,http://www.oed.com/dictionary/fictioner_n
towser,TOWSER,6,verb,c1680-,1680,1,conversion,(transitive) to worry as a dog does.,printed date range,http://www.oed.com/dictionary/towser_v
centuriation,CENTURIATION,12,noun,1681-,1681,3,borrowing,"Roman History. The method, process, or practice…",printed date range,http://www.oed.com/dictionary/centuriation_n
